Player,Team,%Time,Poss,Pts,PPP,FG Miss,FG Made,FG Att,FG%,eFG%,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,TO%,%FT,Score%,%SF
1,"James Harden","Philadelphia 76ers",30.7,252,235,0.933,94,76,170,44.7,52.4,0.96,1.05,0.09,100,50,50,50,70,26,44,37.1,21.8,13.5,40.5,11.9
2,"Stephen Curry","Golden State Warriors",30.5,289,342,1.183,114,116,230,50.4,62.6,0.97,1.25,0.28,114,60,54,52.6,116,56,60,48.3,13.1,10.7,47.4,9.7
3,"LeBron James","Los Angeles Lakers",20.5,255,244,0.957,102,92,194,47.4,52.6,0.98,1.05,0.07,127,72,55,56.7,67,20,47,29.9,15.7,11.8,43.9,11.4
4,"Jayson Tatum","Boston Celtics",20.8,312,276,0.885,158,94,252,37.3,44.4,1.01,0.89,-0.12,124,58,66,46.8,128,36,92,28.1,10.6,11.2,38.1,9.3
5,"Paul George","Los Angeles Clippers",30.9,303,302,0.997,120,112,232,48.3,56.5,0.97,1.13,0.16,142,74,68,52.1,90,38,52,42.2,16.2,8.3,43.9,5.9
5,"Damian Lillard","Portland Trail Blazers",38.3,479,541,1.129,184,159,343,46.4,55,0.97,1.1,0.13,168,100,68,59.5,175,59,116,33.7,12.1,19.6,49.5,15.4
7,"Russell Westbrook","Los Angeles Lakers",25.5,260,195,0.75,100,77,177,43.5,47.5,0.97,0.95,-0.02,134,63,71,47,43,14,29,32.6,25,8.8,35.8,7.7
8,"Jordan Clarkson","Utah Jazz",26.8,326,302,0.926,131,109,240,45.4,51.5,0.96,1.03,0.07,152,80,72,52.6,88,29,59,33,17.8,9.5,41.7,8.6
9,"Paolo Banchero","Orlando Magic",22.7,255,219,0.859,111,74,185,40,43.5,0.94,0.87,-0.07,139,61,78,43.9,46,13,33,28.3,14.1,16.5,41.6,15.3
9,"Jamal Murray","Denver Nuggets",31.4,277,291,1.051,115,115,230,50,56.5,0.94,1.13,0.19,163,85,78,52.1,67,30,37,44.8,10.1,7.9,47.7,5.8
11,"Jordan Poole","Golden State Warriors",26.8,334,297,0.889,147,104,251,41.4,48.4,0.96,0.97,0.01,149,69,80,46.3,102,35,67,34.3,17.1,9.9,38.6,8.7
12,"D'Angelo Russell","Minnesota Timberwolves",34.1,322,314,0.975,123,112,235,47.7,54.3,0.95,1.09,0.14,163,81,82,49.7,72,31,41,43.1,17.1,11.2,44.4,7.8
