Rk,Player,Date,Tm,,Opp,,Qtr,Time,Result,Description,Player-additional
1,LaMelo Ball,2022-12-31,CHO,,BRK,L,1st,11:09.0,Miss,LaMelo Ball misses 3-pt jump shot from 27 ft (CHO 0 BRK 2),ballla01
2,LaMelo Ball,2022-12-31,CHO,,BRK,L,1st,10:46.0,Make,LaMelo Ball makes 2-pt layup from 1 ft (CHO 2 BRK 4),ballla01
3,LaMelo Ball,2022-12-31,CHO,,BRK,L,1st,9:15.0,Miss,LaMelo Ball misses 3-pt jump shot from 31 ft (CHO 4 BRK 8),ballla01
4,LaMelo Ball,2022-12-31,CHO,,BRK,L,1st,6:09.0,Miss,LaMelo Ball misses 3-pt jump shot from 26 ft (CHO 13 BRK 15),ballla01
5,LaMelo Ball,2022-12-31,CHO,,BRK,L,1st,4:12.0,Make,LaMelo Ball makes 2-pt jump shot from 11 ft (assist by Mason Plumlee) (CHO 15 BRK 19),ballla01
6,LaMelo Ball,2022-12-31,CHO,,BRK,L,2nd,10:51.0,Miss,LaMelo Ball misses 2-pt layup from 3 ft (CHO 24 BRK 35),ballla01
7,LaMelo Ball,2022-12-31,CHO,,BRK,L,2nd,6:40.0,Miss,LaMelo Ball misses 2-pt layup from 3 ft (CHO 30 BRK 42),ballla01
8,LaMelo Ball,2022-12-31,CHO,,BRK,L,2nd,5:42.0,Miss,LaMelo Ball misses 3-pt jump shot from 29 ft (CHO 35 BRK 43),ballla01
9,LaMelo Ball,2022-12-31,CHO,,BRK,L,2nd,5:30.0,Miss,LaMelo Ball misses 3-pt jump shot from 25 ft (CHO 35 BRK 43),ballla01
10,LaMelo Ball,2022-12-31,CHO,,BRK,L,2nd,2:14.0,Make,LaMelo Ball makes 3-pt jump shot from 28 ft (assist by Gordon Hayward) (CHO 42 BRK 52),ballla01
11,LaMelo Ball,2022-12-31,CHO,,BRK,L,3rd,11:17.0,Miss,LaMelo Ball misses 3-pt jump shot from 23 ft (CHO 49 BRK 64),ballla01
12,LaMelo Ball,2022-12-31,CHO,,BRK,L,3rd,10:46.0,Make,LaMelo Ball makes 3-pt jump shot from 22 ft (assist by Terry Rozier) (CHO 52 BRK 66),ballla01
13,LaMelo Ball,2022-12-31,CHO,,BRK,L,3rd,9:57.0,Make,LaMelo Ball makes 3-pt jump shot from 25 ft (assist by Gordon Hayward) (CHO 55 BRK 68),ballla01
14,LaMelo Ball,2022-12-31,CHO,,BRK,L,3rd,7:35.0,Make,LaMelo Ball makes 3-pt jump shot from 29 ft (assist by P.J. Washington) (CHO 65 BRK 71),ballla01
15,LaMelo Ball,2022-12-31,CHO,,BRK,L,3rd,5:21.0,Miss,LaMelo Ball misses 3-pt jump shot from 27 ft (CHO 69 BRK 80),ballla01
16,LaMelo Ball,2022-12-31,CHO,,BRK,L,3rd,4:58.0,Miss,LaMelo Ball misses 3-pt jump shot from 30 ft (block by Nic Claxton) (CHO 69 BRK 82),ballla01
17,LaMelo Ball,2022-12-31,CHO,,BRK,L,4th,11:44.0,Miss,LaMelo Ball misses 3-pt jump shot from 28 ft (CHO 79 BRK 97),ballla01
18,LaMelo Ball,2022-12-31,CHO,,BRK,L,4th,10:25.0,Make,LaMelo Ball makes 3-pt jump shot from 28 ft (assist by Jalen McDaniels) (CHO 82 BRK 97),ballla01
19,LaMelo Ball,2022-12-31,CHO,,BRK,L,4th,6:37.0,Miss,LaMelo Ball misses 2-pt layup from 4 ft (CHO 91 BRK 109),ballla01
20,LaMelo Ball,2022-12-29,CHO,,OKC,W,1st,11:14.0,Make,LaMelo Ball makes 3-pt jump shot from 30 ft (assist by Gordon Hayward) (CHO 5 OKC 0),ballla01
21,LaMelo Ball,2022-12-29,CHO,,OKC,W,1st,9:18.0,Make,LaMelo Ball makes 2-pt jump shot from 11 ft (assist by P.J. Washington) (CHO 9 OKC 4),ballla01
22,LaMelo Ball,2022-12-29,CHO,,OKC,W,1st,8:49.0,Make,LaMelo Ball makes 3-pt jump shot from 27 ft (CHO 12 OKC 7),ballla01
23,LaMelo Ball,2022-12-29,CHO,,OKC,W,1st,6:52.0,Make,LaMelo Ball makes 2-pt jump shot from 3 ft (CHO 17 OKC 12),ballla01
24,LaMelo Ball,2022-12-29,CHO,,OKC,W,2nd,8:18.0,Miss,LaMelo Ball misses 3-pt jump shot from 33 ft (CHO 43 OKC 37),ballla01
25,LaMelo Ball,2022-12-29,CHO,,OKC,W,2nd,6:16.0,Miss,LaMelo Ball misses 3-pt jump shot from 30 ft (CHO 47 OKC 39),ballla01
26,LaMelo Ball,2022-12-29,CHO,,OKC,W,2nd,2:36.0,Miss,LaMelo Ball misses 3-pt jump shot from 28 ft (CHO 51 OKC 50),ballla01
27,LaMelo Ball,2022-12-29,CHO,,OKC,W,3rd,11:41.0,Make,LaMelo Ball makes 3-pt jump shot from 23 ft (CHO 60 OKC 60),ballla01
28,LaMelo Ball,2022-12-29,CHO,,OKC,W,3rd,9:58.0,Miss,LaMelo Ball misses 3-pt jump shot from 28 ft (CHO 64 OKC 64),ballla01
29,LaMelo Ball,2022-12-29,CHO,,OKC,W,3rd,6:56.0,Make,LaMelo Ball makes 3-pt jump shot from 31 ft (assist by Mason Plumlee) (CHO 77 OKC 70),ballla01
30,LaMelo Ball,2022-12-29,CHO,,OKC,W,4th,11:16.0,Make,LaMelo Ball makes 2-pt jump shot from 10 ft (CHO 89 OKC 86),ballla01
31,LaMelo Ball,2022-12-29,CHO,,OKC,W,4th,8:05.0,Miss,LaMelo Ball misses 3-pt jump shot from 30 ft (CHO 96 OKC 95),ballla01
32,LaMelo Ball,2022-12-29,CHO,,OKC,W,4th,4:14.0,Make,LaMelo Ball makes 2-pt jump shot from 16 ft (assist by Mason Plumlee) (CHO 105 OKC 103),ballla01
33,LaMelo Ball,2022-12-29,CHO,,OKC,W,4th,3:03.0,Miss,LaMelo Ball misses 2-pt jump shot from 17 ft (CHO 108 OKC 103),ballla01
34,LaMelo Ball,2022-12-29,CHO,,OKC,W,4th,0:50.0,Make,LaMelo Ball makes 3-pt jump shot from 30 ft (assist by Terry Rozier) (CHO 115 OKC 108),ballla01
35,LaMelo Ball,2022-12-27,CHO,@,GSW,L,1st,9:18.0,Make,LaMelo Ball makes 3-pt jump shot from 29 ft (assist by Terry Rozier) (CHO 8 GSW 5),ballla01
36,LaMelo Ball,2022-12-27,CHO,@,GSW,L,1st,8:48.0,Miss,LaMelo Ball misses 2-pt jump shot from 8 ft (CHO 8 GSW 5),ballla01
37,LaMelo Ball,2022-12-27,CHO,@,GSW,L,1st,8:31.0,Miss,LaMelo Ball misses 3-pt jump shot from 27 ft (CHO 8 GSW 5),ballla01
38,LaMelo Ball,2022-12-27,CHO,@,GSW,L,1st,7:06.0,Miss,LaMelo Ball misses 2-pt layup from 7 ft (CHO 8 GSW 11),ballla01
39,LaMelo Ball,2022-12-27,CHO,@,GSW,L,1st,4:53.0,Make,LaMelo Ball makes 2-pt layup from 7 ft (CHO 13 GSW 18),ballla01
40,LaMelo Ball,2022-12-27,CHO,@,GSW,L,1st,4:32.0,Miss,LaMelo Ball misses 3-pt jump shot from 29 ft (CHO 13 GSW 21),ballla01
41,LaMelo Ball,2022-12-27,CHO,@,GSW,L,2nd,11:47.0,Miss,LaMelo Ball misses 3-pt jump shot from 26 ft (CHO 26 GSW 37),ballla01
42,LaMelo Ball,2022-12-27,CHO,@,GSW,L,2nd,8:21.0,Miss,LaMelo Ball misses 2-pt jump shot from 9 ft (CHO 33 GSW 49),ballla01
43,LaMelo Ball,2022-12-27,CHO,@,GSW,L,2nd,7:36.0,Miss,LaMelo Ball misses 2-pt layup from 6 ft (CHO 36 GSW 51),ballla01
44,LaMelo Ball,2022-12-27,CHO,@,GSW,L,2nd,7:34.0,Miss,LaMelo Ball misses 2-pt layup at rim (CHO 36 GSW 51),ballla01
45,LaMelo Ball,2022-12-27,CHO,@,GSW,L,2nd,7:10.0,Make,LaMelo Ball makes 2-pt jump shot from 16 ft (assist by Mark Williams) (CHO 38 GSW 51),ballla01
46,LaMelo Ball,2022-12-27,CHO,@,GSW,L,2nd,5:45.0,Miss,LaMelo Ball misses 2-pt jump shot from 16 ft (CHO 40 GSW 55),ballla01
47,LaMelo Ball,2022-12-27,CHO,@,GSW,L,3rd,10:33.0,Miss,LaMelo Ball misses 2-pt jump shot from 17 ft (CHO 54 GSW 70),ballla01
48,LaMelo Ball,2022-12-27,CHO,@,GSW,L,3rd,9:24.0,Make,LaMelo Ball makes 2-pt jump shot from 12 ft (CHO 59 GSW 72),ballla01
49,LaMelo Ball,2022-12-27,CHO,@,GSW,L,3rd,8:47.0,Miss,LaMelo Ball misses 2-pt jump shot from 11 ft (CHO 59 GSW 72),ballla01
50,LaMelo Ball,2022-12-27,CHO,@,GSW,L,3rd,4:53.0,Miss,LaMelo Ball misses 3-pt jump shot from 29 ft (CHO 73 GSW 82),ballla01
51,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,9:31.0,Make,LaMelo Ball makes 2-pt jump shot from 7 ft (CHO 87 GSW 94),ballla01
52,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,8:59.0,Miss,LaMelo Ball misses 3-pt jump shot from 30 ft (CHO 88 GSW 94),ballla01
53,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,4:46.0,Make,LaMelo Ball makes 3-pt jump shot from 27 ft (assist by P.J. Washington) (CHO 98 GSW 98),ballla01
54,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,3:54.0,Miss,LaMelo Ball misses 3-pt jump shot from 28 ft (CHO 101 GSW 101),ballla01
55,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,3:03.0,Miss,LaMelo Ball misses 2-pt jump shot from 13 ft (CHO 101 GSW 101),ballla01
56,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,2:27.0,Miss,LaMelo Ball misses 3-pt jump shot from 24 ft (CHO 101 GSW 103),ballla01
57,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,1:46.0,Miss,LaMelo Ball misses 3-pt jump shot from 27 ft (CHO 101 GSW 103),ballla01
58,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,0:19.0,Make,LaMelo Ball makes 2-pt layup from 7 ft (assist by Mason Plumlee) (CHO 105 GSW 109),ballla01
59,LaMelo Ball,2022-12-27,CHO,@,GSW,L,4th,0:08.0,Miss,LaMelo Ball misses 3-pt jump shot from 28 ft (CHO 105 GSW 110),ballla01
60,LaMelo Ball,2022-12-26,CHO,@,POR,L,1st,11:20.0,Make,LaMelo Ball makes 3-pt jump shot from 27 ft (assist by Gordon Hayward) (CHO 3 POR 3),ballla01
61,LaMelo Ball,2022-12-26,CHO,@,POR,L,1st,9:30.0,Make,LaMelo Ball makes 2-pt jump shot from 13 ft (assist by Mason Plumlee) (CHO 7 POR 8),ballla01
62,LaMelo Ball,2022-12-26,CHO,@,POR,L,1st,8:59.0,Miss,LaMelo Ball misses 3-pt jump shot from 29 ft (CHO 7 POR 10),ballla01
63,LaMelo Ball,2022-12-26,CHO,@,POR,L,1st,8:01.0,Miss,LaMelo Ball misses 3-pt jump shot from 27 ft (CHO 7 POR 10),ballla01
64,LaMelo Ball,2022-12-26,CHO,@,POR,L,2nd,7:13.0,Make,LaMelo Ball makes 2-pt jump shot from 15 ft (CHO 53 POR 43),ballla01
65,LaMelo Ball,2022-12-26,CHO,@,POR,L,2nd,6:27.0,Miss,LaMelo Ball misses 2-pt jump shot from 20 ft (CHO 53 POR 43),ballla01
66,LaMelo Ball,2022-12-26,CHO,@,POR,L,2nd,5:17.0,Make,LaMelo Ball makes 2-pt layup at rim (CHO 57 POR 45),ballla01
67,LaMelo Ball,2022-12-26,CHO,@,POR,L,2nd,1:52.0,Miss,LaMelo Ball misses 2-pt jump shot from 11 ft (CHO 65 POR 53),ballla01
68,LaMelo Ball,2022-12-26,CHO,@,POR,L,2nd,0:00.0,Miss,LaMelo Ball misses 2-pt layup from 2 ft (CHO 67 POR 61),ballla01
