Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3.0,7.7,.391,0.4,2.3,.179,2.6,5.3,.484,.418,2.3,2.8,.848,2.0,5.0,7.0,1.3,0.2,0.6,1.3,1.6,8.8,achiupr01
2,Steven Adams,C,29,MEM,31,31,26.5,3.5,6.0,.591,0.0,0.0,.000,3.5,6.0,.595,.591,0.8,2.6,.325,4.9,5.6,10.5,2.2,0.8,1.1,1.9,2.3,7.9,adamsst01
3,Bam Adebayo,C,25,MIA,32,32,35.1,8.3,15.5,.532,0.0,0.3,.100,8.2,15.2,.541,.533,4.4,5.3,.833,2.6,7.2,9.8,3.2,1.0,0.7,3.1,3.2,20.9,adebaba01
4,Ochai Agbaji,SG,22,UTA,16,0,7.9,1.1,2.6,.405,0.3,1.3,.238,0.8,1.3,.571,.464,0.3,0.6,.444,0.4,0.7,1.1,0.2,0.1,0.0,0.0,0.8,2.7,agbajoc01
5,Santi Aldama,PF,22,MEM,33,16,23.3,3.4,7.2,.475,1.3,3.5,.379,2.1,3.6,.567,.568,1.5,2.0,.716,1.2,4.0,5.2,1.3,0.7,0.9,0.6,2.3,9.6,aldamsa01
6,Nickeil Alexander-Walker,SG,24,UTA,26,2,15.5,2.5,5.1,.489,1.1,2.7,.420,1.4,2.5,.563,.598,0.7,1.0,.731,0.3,1.3,1.6,2.3,0.7,0.4,1.3,1.7,6.8,alexani01
7,Grayson Allen,SG,27,MIL,32,30,27.4,3.3,7.5,.440,1.8,4.5,.386,1.6,3.0,.521,.556,1.8,2.0,.921,1.0,2.6,3.6,2.4,0.7,0.2,1.1,1.4,10.2,allengr01
8,Jarrett Allen,C,24,CLE,29,29,33.5,5.6,8.9,.625,0.0,0.1,.000,5.6,8.8,.635,.625,2.9,3.9,.735,3.0,7.2,10.2,1.4,0.8,1.2,1.5,2.2,14.0,allenja01
9,Jose Alvarado,PG,24,NOP,34,7,20.6,3.3,7.8,.421,1.4,4.1,.340,1.9,3.7,.512,.511,1.0,1.4,.745,0.5,1.8,2.3,3.0,1.4,0.1,1.4,2.1,9.0,alvarjo01
10,Kyle Anderson,PF,29,MIN,26,11,24.3,2.7,5.5,.483,0.4,1.1,.345,2.3,4.4,.518,.517,1.6,2.0,.774,0.5,3.6,4.1,3.4,1.1,0.8,1.4,2.0,7.3,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,30,30,33.7,11.5,21.5,.533,0.8,3.0,.253,10.7,18.5,.578,.550,8.4,13.0,.645,2.3,9.6,11.8,5.2,0.9,0.9,3.8,3.6,32.1,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,16,0,4.3,0.2,0.4,.500,0.0,0.1,.000,0.2,0.3,.600,.500,0.1,0.1,.500,0.3,0.6,0.9,0.2,0.1,0.2,0.3,0.3,0.4,antetth01
